id,affect,w_o
10549,2,1
10547,3,0
10547,4,1
10539,4,1
10547,5,1
10549,3,0
10539,5,0
10549,4,1
10547,4,1
10526,4,1
10547,4,1
10539,2,1
10547,2,0
10539,3,1
10547,4,1
10526,4,1
10539,4,0
10547,3,1
10538,4,1
10549,4,1
10547,4,1
10539,2,0
10539,3,0
10541,3,1
10547,2,0
10536,2,0
10539,3,0
10544,3,1
10547,4,1
10539,3,0
10536,2,0
10543,3,1
10509,4,1
10544,4,1
10547,3,1
10526,5,1
10509,4,0
10539,4,0
10515,4,0
10547,3,0
10536,1,0
10541,3,1
10530,4,0
10539,3,1
10545,3,1
10544,3,1
10533,4,1
10536,4,1
10532,4,1
10542,3,1
10535,2,1
10543,3,1
10544,4,1
10530,3,0
10536,1,1
10498,3,0
10512,3,1
10526,3,1
10541,4,1
10515,3,0
10523,3,1
10512,4,1
10536,4,1
10530,3,1
10543,3,1
10498,3,1
10538,3,1
10485,5,NA
10398,3,1
10509,3,0
10515,2,1
10541,5,1
10526,3,1
10542,3,1
10533,4,1
10528,4,1
10517,4,1
10529,3,1
10536,3,1
10530,2,1
10528,3,1
10485,4,1
10522,3,1
10544,2,0
10509,4,1
10535,4,1
10541,3,1
10538,4,1
10517,4,0
10543,4,1
10533,4,1
10530,3,1
10532,3,0
10535,2,1
10509,4,1
10523,4,1
10528,3,1
10485,4,1
10508,3,1
10473,2,1
10516,3,0
10515,4,1
10517,3,1
10498,2,1
10518,4,1
10509,4,1
10540,4,0
10544,4,1
10513,5,1
10530,4,1
10543,3,1
10485,5,1
10535,4,1
10509,4,1
10515,3,0
10498,4,1
10517,4,1
10530,5,1
10477,4,1
10485,4,1
10516,4,1
10515,3,1
10517,3,0
10522,3,1
10513,4,1
10485,4,1
10530,4,1
10537,5,1
10494,3,0
10473,4,0
10506,4,1
10512,4,1
10460,5,1
10530,4,1
10509,4,1
10510,4,1
10528,3,1
10540,4,1
10494,4,0
10522,3,1
10497,4,1
10513,5,1
10517,4,1
10472,5,1
10466,3,1
10486,4,1
10460,2,1
10512,2,1
10540,5,1
10543,3,1
10528,3,1
10494,5,1
10473,4,1
10509,5,1
10517,3,1
10530,3,1
10515,4,0
10516,5,1
10483,3,1
10494,5,0
10529,2,1
10543,3,1
10528,1,1
10479,3,1
10517,4,1
10513,2,0
10537,3,1
10485,4,1
10530,3,1
10544,3,1
10510,4,1
10473,3,0
10492,4,1
10509,4,1
10540,5,1
10488,2,1
10497,3,1
10466,3,1
10472,4,1
10479,2,1
10542,4,1
10512,4,1
10498,3,1
10506,5,1
10485,4,1
10497,2,1
10466,1,1
10511,4,1
10398,3,1
10532,3,1
10513,3,1
10540,2,0
10486,3,1
10472,5,0
10492,4,1
10517,4,1
10494,3,1
10516,4,1
10530,2,1
10523,3,1
10525,3,1
10477,3,0
10522,3,1
10473,3,1
10515,4,1
10518,4,1
10516,4,1
10542,4,1
10532,3,1
10508,5,1
10472,5,1
10523,5,1
10486,4,1
10466,3,0
10530,4,1
10517,4,1
10540,4,1
10535,4,0
10528,3,1
10498,2,0
10494,1,0
10492,4,1
10515,3,0
10506,4,1
10466,2,1
10513,5,1
10483,3,1
10497,4,1
10523,5,1
